name,cells,clone,bxb1,selection,red,green_red,green,neither
,iCasp9-Blast,12,none,None,0,0,0,100
,Int-Blast,2,none,None,10,0.24,15,74.76
,Int-Blast,2,added,None,4.29,0.09,4.58,91.04
,iCasp9-Blast,12,added,None,0.81,0,0.83,98.36
,Int-iCasp9-Blast,3,none,None,6.89,0.15,10.4,82.56
,Int-iCasp9-Blast,3,added,None,4.67,0.05,4.96,90.32
,iCasp9-Blast,12,none,AP1903,0,0,0,100
,Int-Blast,2,none,AP1903,9.87,0.26,14.4,75.47
,Int-Blast,2,added,AP1903,7.22,0.14,10.9,81.74
,iCasp9-Blast,12,added,AP1903,31.3,0.16,36.8,31.74
,Int-iCasp9-Blast,3,none,AP1903,14,0.47,53.7,31.83
,Int-iCasp9-Blast,3,added,AP1903,17.1,0.59,47.1,35.21